recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
1005,1,0,93,93,2.292742609,5.3082278495847985,car
1005,2,0,141,141,2.261335176,5.559115641,car
1005,3,0,30,30,2.198744637362453,4.931067003657515,car
1005,4,0,54,54,2.292742609,5.245041311,car
1005,12,0,1558,1558,2.3249987365844307,4.9973361405795105,car
1005,15,0,1268,1268,2.2565317164991634,4.904489645205991,car
1005,13,0,665,665,0,0,bicycle
1005,5,33,204,171,2.1985203099999997,5.527708208,car
1005,6,81,252,171,2.449981095426481,5.622720023900009,car
1005,7,129,318,189,2.261335176,5.402078476,car
1005,8,180,363,183,2.324150042,5.433848988580024,car
1005,11,186,309,123,2.169160220750893,5.627542442646421,car
1005,10,213,557,344,2.421633252430312,5.332978424054429,car
1005,9,294,480,186,2.2929577183131347,5.120278581955099,car
1005,14,477,1930,1453,2.0845167938627887,3.9158658489165976,car
1005,17,674,1352,678,2.160730957320932,4.84418293200553,car
1005,16,707,1358,651,2.324150042,5.307856177,car
1005,18,920,1442,522,2.330507717892839,5.352272609143597,car
1005,29,1052,1795,743,0,0,pedestrian
1005,19,1070,1472,402,2.245796177757865,5.157134928070578,car
1005,23,1100,1828,728,2.386964908,5.967742865400381,car
1005,20,1352,1834,482,1.8036728482593551,3.913976104167802,car
1005,21,1457,1741,284,0,0,bicycle
1005,28,1510,1930,420,0,0,pedestrian
1005,27,1636,1930,294,0,0,pedestrian
1005,22,1672,1777,105,0,0,bicycle
1005,24,1672,1894,222,2.167340455144707,5.497108335379106,car
1005,25,1750,1930,180,2.041483145,4.08296629,car
1005,26,1915,1930,15,2.418372341,5.1508190119999995,car
